AIRCRAFT DESTINATION DEPARTURE AIRLINE
ECHQI LIBD 11:47 VLG
CSTTV LPPT 11:50 TAP
ECIVJ LEIB 11:50 EXU
ECLQK LEGR 11:52 VLG
EIFJP LEPA 11:58 IBK
EIEBA EGNX 11:59 RYR
ECMLD EDDM 12:00 VLG
PHXRX EHEH 12:02 TRA
ECLZE LIPZ 12:02 VLG
ECLRN LICJ 12:06 VLG
VPBRN UUDD 12:08 AUL
N290AY KPHL 12:08 AAL
N76054 KEWR 12:08 UAL
ECMEQ LPPT 12:14 VLG
N803NW KJFK 12:14 DAL
EIDHX EGSS 12:17 RYR
DAISW EDDF 12:18 DLH
ECLRM EGFF 12:21 VLG
LNDYB ESGG 12:25 NAX
ECLML LEPA 12:25 VLG
ECMJC EHAM 12:26 VLG
DAGWE EDDH 12:27 GWI
GEUUV EGKK 12:27 BAW
ECLZO EKCH 12:31 VLG
DAKNQ EDDT 12:32 GWI
TCJVM LTFJ 12:32 THY
CGTSW CYYZ 12:36 TSC
CFIYE CYUL 12:36 ROU
DCARO LEMD 12:39 DCA
EIFRH LEPA 12:40 RYR
URPSS UKBB 12:44 AUI
ECMBL LSZH 12:44 VLG
CFDAT CYUL 12:46 TSC
OKNEN LKPR 12:49 CSA
CSDXZ LIRP 12:51 NJE
LXLQB ELLX 12:52 LGL
ECLZZ LIRF 12:53 VLG
N283AY KCLT 12:56 AAL
EIENL LEJR 12:58 RYR
URPSO UKBB 13:02 AUI
CSTTK LPPT 13:03 TAP
ECHHA LEIB 13:04 VLG
GEZUM LSGG 13:06 EZY
ECLZF LEBB 13:07 VLG
N550GH LEPA 13:10 ZZZ
ECLVP LSGG 13:12 VLG
TCJHZ LTBA 13:12 THY
ECIXD LEMD 13:15 IBE
ECMHA LFPO 13:18 VLG
EIDHT LEIB 13:18 RYR
SXABE LFBD 13:22 VLG
HBIOM LSZH 13:22 SWR
GEZPL EGKK 13:23 EZY
TCCPG LTFJ 13:25 PGT
ECMEA LIMC 13:26 VLG
ECLTG EGHI 13:32 LAV
FGTAT LFPG 13:32 AFR
N900JG LIML 13:35 ZZZ
GEUUY EGLL 13:38 BAW
SUGCE HECA 13:40 MSR
A6EOP OMDB 13:41 UAE
ECLUN LFML 13:42 VLG
ECLXV LEPA 13:42 AEA
PHXRD EHAM 13:44 TRA
EIFJN ENGM 13:47 IBK
ECLOB EHAM 13:50 VLG
OOSSW EBBR 13:56 BEL
DAIRA EDDM 13:57 DLH
DAISE EDDF 13:57 DLH
EIFIY LEVD 13:59 RYR
ECHUH LEMD 14:01 IBE
GEUYB EGKK 14:03 BAW
FK123 LEGE 14:04 FHA
ECLST LEMH 14:09 AEA
EIDAE LEVX 14:16 RYR
ECJYX LEXJ 14:24 VLG
ECLQL EGLL 14:24 VLG
EIFJL EKBI 14:28 IBK
ECMGY LEIB 14:37 VLG
EIDWK LEMH 14:41 RYR
CSTTN LPPT 14:54 TAP
EIDAM EIDW 14:54 RYR
ECMGF EDDF 14:56 VLG
EIFJM EKCH 14:59 IBK
DAISR EDDF 15:02 DLH
HBJYL LSGG 15:08 EZS
LYVEO LFPG 15:09 VLG
HBJXE LFSB 15:12 EZS
LYVEV LEPA 15:12 VLG
EIENO LHBP 15:12 RYR
N969AV SKBO 15:19 AVA
A6AIN OMAA 15:20 ROJ
OYRUP GCLP 15:23 IBK
A7AEC OTHH 15:24 QTR
EIFJP LEPA 15:27 IBK
EX321 LFMD 15:31 HBV
ECLML LFLL 15:31 VLG
ECMKV LESO 15:35 VLG
ECJTR LEMH 15:38 VLG
ECJNI LEMD 15:39 IBE
ECJGM LEMD 15:42 VLG
PHBXG EHAM 15:42 KLM
ECMBK LEIB 15:44 VLG
CNNMH GMTT 15:44 MAC
EIFJK EGKK 15:48 IBK
ECMHB EGKK 15:48 VLG
EIDCJ EDDB 16:01 RYR
ECMBS LEZL 16:04 VLG
ECLQK EIDW 16:08 VLG
ECLAA LEST 16:09 VLG
ECMJZ LELN 16:10 ANE
ECJFF LDDU 16:13 VLG
ECLRY EDDM 16:14 VLG
ECJTQ LEVD 16:16 VLG
ECMBF LFPO 16:18 VLG
ECLZN LKPR 16:18 VLG
ECMGE EGGW 16:21 VLG
LNRRG ENGM 16:21 SAS
FHEPB LFPG 16:24 AFR
ECMKM LPPR 16:25 VLG
VQBBG UUEE 16:25 AFL
ECMKX EDDL 16:28 VLG
TCDCF LTFJ 16:32 PGT
IBIXS LIRF 16:32 AZA
HBIOH LSZH 16:34 SWR
ECJFN LEMD 16:37 IBE
ECKCU LIRF 16:39 VLG
ECHHA LSZH 16:39 VLG
GTTOE EGLL 16:44 BAW
EIDHT EGSS 16:45 RYR
DAIRD EDDM 16:46 DLH
DIERF EDDP 16:48 DIE
EIEFW EGGP 16:54 RYR
DAIDQ EDDF 16:55 DLH
SXABE EBBR 17:03 VLG
TCJIP LTBA 17:03 THY
VPBAS UUDD 17:08 KTK
ECKMI LEMD 17:09 VLG
ECMGZ EHAM 17:13 VLG
ECLXV LEPA 17:13 AEA
EIEPG LFOB 17:14 RYR
GEZWZ EGKK 17:16 EZY
